technology,latitude,longitude
LTE,60.19123979,24.961878176
LTE,60.1897946325,24.9623176225
LTE,60.1857755771,24.9563607843
LTE,60.1894223539,24.9471944379
LTE,60.18667161,24.943023826
UMTS,60.18650749,24.9421788
LTE,60.185137925,24.9438181
HSPA+,60.18580121,24.94066005
HSPA+,60.18615902,24.9414282
UMTS,60.1860166667,24.9611166667
GSM,60.1708196493,24.9402996177
UMTS,60.1714846115,24.9402953129
UMTS,60.18306595,24.93086361
HSDPA,60.18179088,24.95092298
HSPA+,60.18561327,24.93951925
GSM,60.1682334426,24.9304682075
UMTS,60.1689822196,24.9321367503
UMTS,60.1839153,24.93159596
GSM,60.1727454141,24.9399378236
UMTS,60.1730911316,24.9398917658
LTE,60.1820769521,24.9534709364
GSM,60.1719889297,24.940252715
UMTS,60.1724570483,24.9398942282
LTE,60.1790255367,24.9546598833
UMTS,60.17852,24.94783
GSM,60.1690248201,24.9322186611
UMTS,60.1689603255,24.9321538972
GSM,60.1690256581,24.9322395342
UMTS,60.1689972508,24.9321582563
UMTS,60.1821871795,24.9553030128
LTE,60.1789112921,24.9288263507
LTE,60.17891437,24.92589145
LTE,60.178984702,24.942959994
LTE,60.1850646075,24.916861085
LTE,60.1885779655,24.9635226691
LTE,60.1871972222,24.95971866
LTE,60.18729967,24.95290825
LTE,60.1855444933,24.953039495
LTE,60.18352066,24.95336923
LTE,60.1813561271,24.9540067257
LTE,60.1842349295,24.9589114625
LTE,60.18435828,24.9387082883
LTE,60.1823860367,24.95562804
LTE,60.181788751,24.953864799
LTE,60.186302496,24.915407016
LTE,60.1857008533,24.9382125933
LTE,60.2300387965,25.0173968117
LTE,60.228969677,25.012614175
LTE,60.2236097362,24.9907156686
HSPA+,60.2616679,25.0724799
HSPA+,60.2534249283,25.0666909517
UMTS,60.25861356,25.07069137
HSPA+,60.257201885,25.06959287
HSPA+,60.260124785,25.07176532
LTE,60.22249017,24.986334675
LTE,60.23164247,25.02260992
LTE,60.23148751,25.022817905
UMTS,60.26708378,25.07868405
LTE,60.2214047117,24.9826579558
LTE,60.22876394,25.009393089
LTE,60.2270371908,25.0004122912
LTE,60.23164521,25.02263678
LTE,60.2439848458,25.0541051306
LTE,60.2388431196,25.0424856375
LTE,60.23597715,25.0349456867
LTE,60.23269026,25.02649006
LTE,60.2345044454,25.0308369189
LTE,60.2596185375,25.0709118625
LTE,60.2537805029,25.06647549
LTE,60.19591074,24.96007047
LTE,60.19504844,24.95848901
LTE,60.1990399633,24.9468033167
LTE,60.189377195,24.9345754
LTE,60.19098256,24.9498015871
LTE,60.2083066014,24.9437622514
LTE,60.2052122848,24.9425816504
LTE,60.2214485033,24.9494533533
LTE,60.2186424457,24.9427876357
LTE,60.191529275,24.95063514
LTE,60.19189081,24.9336043429
LTE,60.2133012927,24.8833591867
LTE,60.2011999467,24.8992655767
LTE,60.19648896,24.93607392
LTE,60.1968544,24.93592187
LTE,60.2219222214,24.8812310857
LTE,60.1939028667,24.9315480033
LTE,60.1991907133,24.9327597725
